barid,taxid,name,zip,date,gross
701,MB204332,"WARREN'S INN",77002,2006-06-01,38305
701,MB204332,"WARREN'S INN",77002,2006-07-01,37463
701,MB204332,"WARREN'S INN",77002,2006-08-01,34098
701,MB204332,"WARREN'S INN",77002,2006-09-01,33593
701,MB204332,"WARREN'S INN",77002,2006-10-01,30796
701,MB204332,"WARREN'S INN",77002,2006-11-01,35443
701,MB204332,"WARREN'S INN",77002,2006-12-01,43638
701,MB204332,"WARREN'S INN",77002,2007-01-01,33220
701,MB204332,"WARREN'S INN",77002,2007-02-01,32179
701,MB204332,"WARREN'S INN",77002,2007-03-01,37620
701,MB204332,"WARREN'S INN",77002,2007-04-01,34614
701,MB204332,"WARREN'S INN",77002,2007-05-01,34005
701,MB204332,"WARREN'S INN",77002,2007-06-01,35496
701,MB204332,"WARREN'S INN",77002,2007-07-01,33460
701,MB204332,"WARREN'S INN",77002,2007-08-01,37184
701,MB204332,"WARREN'S INN",77002,2007-09-01,26902
701,MB204332,"WARREN'S INN",77002,2007-10-01,28768
701,MB204332,"WARREN'S INN",77002,2007-11-01,33102
701,MB204332,"WARREN'S INN",77002,2007-12-01,36922
701,MB204332,"WARREN'S INN",77002,2008-01-01,29143
701,MB204332,"WARREN'S INN",77002,2008-02-01,30910
701,MB204332,"WARREN'S INN",77002,2008-03-01,31020
701,MB204332,"WARREN'S INN",77002,2008-04-01,28746
701,MB204332,"WARREN'S INN",77002,2008-05-01,32544
701,MB204332,"WARREN'S INN",77002,2008-06-01,33940
701,MB204332,"WARREN'S INN",77002,2008-07-01,29910
701,MB204332,"WARREN'S INN",77002,2008-08-01,32410
701,MB204332,"WARREN'S INN",77002,2008-09-01,27502
701,MB204332,"WARREN'S INN",77002,2008-10-01,33170
701,MB204332,"WARREN'S INN",77002,2008-11-01,31761
701,MB204332,"WARREN'S INN",77002,2008-12-01,36677
701,MB204332,"WARREN'S INN",77002,2009-01-01,32215
701,MB204332,"WARREN'S INN",77002,2009-02-01,28986
701,MB204332,"WARREN'S INN",77002,2009-03-01,33025
701,MB204332,"WARREN'S INN",77002,2009-04-01,34987
701,MB204332,"WARREN'S INN",77002,2009-05-01,32035
701,MB204332,"WARREN'S INN",77002,2009-06-01,31682
701,MB204332,"WARREN'S INN",77002,2009-07-01,32068
701,MB204332,"WARREN'S INN",77002,2009-08-01,31786
701,MB204332,"WARREN'S INN",77002,2009-09-01,27059
701,MB204332,"WARREN'S INN",77002,2009-10-01,31058
701,MB204332,"WARREN'S INN",77002,2009-11-01,30893
701,MB204332,"WARREN'S INN",77002,2009-12-01,36126
701,MB204332,"WARREN'S INN",77002,2010-01-01,32006
701,MB204332,"WARREN'S INN",77002,2010-02-01,33065
701,MB204332,"WARREN'S INN",77002,2010-03-01,33155
701,MB204332,"WARREN'S INN",77002,2010-04-01,30323
701,MB204332,"WARREN'S INN",77002,2010-05-01,30191
701,MB204332,"WARREN'S INN",77002,2010-06-01,30150
701,MB204332,"WARREN'S INN",77002,2010-07-01,33007
701,MB204332,"WARREN'S INN",77002,2010-08-01,35080
701,MB204332,"WARREN'S INN",77002,2010-09-01,34283
701,MB204332,"WARREN'S INN",77002,2010-10-01,32804
701,MB204332,"WARREN'S INN",77002,2010-11-01,28929
701,MB204332,"WARREN'S INN",77002,2010-12-01,36608
701,MB204332,"WARREN'S INN",77002,2011-01-01,32411
701,MB204332,"WARREN'S INN",77002,2011-02-01,29841
701,MB204332,"WARREN'S INN",77002,2011-03-01,29339
701,MB204332,"WARREN'S INN",77002,2011-04-01,34618
701,MB204332,"WARREN'S INN",77002,2011-05-01,31100
701,MB204332,"WARREN'S INN",77002,2011-06-01,36254
701,MB204332,"WARREN'S INN",77002,2011-07-01,34450
701,MB204332,"WARREN'S INN",77002,2011-08-01,35312
701,MB204332,"WARREN'S INN",77002,2011-09-01,35481
701,MB204332,"WARREN'S INN",77002,2011-10-01,34788
701,MB204332,"WARREN'S INN",77002,2011-11-01,31279
701,MB204332,"WARREN'S INN",77002,2011-12-01,41283
701,MB204332,"WARREN'S INN",77002,2012-01-01,36277
701,MB204332,"WARREN'S INN",77002,2012-02-01,34731
701,MB204332,"WARREN'S INN",77002,2012-03-01,37386
701,MB204332,"WARREN'S INN",77002,2012-04-01,34723
701,MB204332,"WARREN'S INN",77002,2012-05-01,40255
701,MB204332,"WARREN'S INN",77002,2012-06-01,42234
701,MB204332,"WARREN'S INN",77002,2012-07-01,42047
701,MB204332,"WARREN'S INN",77002,2012-08-01,39952
701,MB204332,"WARREN'S INN",77002,2012-09-01,36464
701,MB204332,"WARREN'S INN",77002,2012-10-01,39609
701,MB204332,"WARREN'S INN",77002,2012-11-01,42299
701,MB204332,"WARREN'S INN",77002,2012-12-01,45150
701,MB204332,"WARREN'S INN",77002,2013-01-01,38503
701,MB204332,"WARREN'S INN",77002,2013-02-01,39699
701,MB204332,"WARREN'S INN",77002,2013-03-01,45580
701,MB204332,"WARREN'S INN",77002,2013-04-01,37096
701,MB204332,"WARREN'S INN",77002,2013-05-01,43619
701,MB204332,"WARREN'S INN",77002,2013-06-01,44034
701,MB204332,"WARREN'S INN",77002,2013-07-01,46797
701,MB204332,"WARREN'S INN",77002,2013-08-01,47565
701,MB204332,"WARREN'S INN",77002,2013-09-01,43049
701,MB204332,"WARREN'S INN",77002,2013-10-01,45597
701,MB204332,"WARREN'S INN",77002,2013-11-01,47954
701,MB204332,"WARREN'S INN",77002,2013-12-01,51342
701,MB204332,"WARREN'S INN",77002,2014-01-01,46022
701,MB204332,"WARREN'S INN",77002,2014-02-01,43153
701,MB204332,"WARREN'S INN",77002,2014-03-01,50193
701,MB204332,"WARREN'S INN",77002,2014-04-01,42609
701,MB204332,"WARREN'S INN",77002,2014-05-01,43204
701,MB204332,"WARREN'S INN",77002,2014-06-01,44000
701,MB204332,"WARREN'S INN",77002,2014-07-01,43545
701,MB204332,"WARREN'S INN",77002,2014-08-01,47428
701,MB204332,"WARREN'S INN",77002,2014-09-01,39868
701,MB204332,"WARREN'S INN",77002,2014-10-01,43770
701,MB204332,"WARREN'S INN",77002,2014-11-01,48456
701,MB204332,"WARREN'S INN",77002,2014-12-01,53288
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-01-01,41569
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-02-01,44148
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-03-01,79078
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-04-01,197004
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-05-01,270099
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-06-01,228147
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-07-01,262417
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-08-01,207995
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-09-01,205261
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-10-01,168308
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-11-01,59815
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2004-12-01,64388
1311,MB248137,"THE FLYING SAUCER DRAUGHT EMPO",76102,2005-01-01,43217
